party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
10666,,2018-05,90157,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-05 00:00:00,,EUR,7318.4202,0,999,R
10586,,2018-05,90089,2018-03-31 00:00:00,2018-04-30 00:00:00,2018-06-10 00:00:00,,EUR,5474.9331,0,999,R
12310,,2018-06,91018,2018-05-01 00:00:00,2018-05-31 00:00:00,2018-07-10 00:00:00,,EUR,5.3235,0,999,P
11067,,2018-07,90240,2018-05-29 00:00:00,2018-06-28 00:00:00,2018-08-12 00:00:00,,EUR,185.4684,0,999,P
10587,,2018-03,90095,2018-01-29 00:00:00,2018-02-28 00:00:00,2018-04-06 00:00:00,,EUR,153.27,0,999,R
11747,,2018-11,90681,2018-09-16 00:00:00,2018-10-21 00:00:00,2018-11-27 00:00:00,,EUR,210.6,0,999,P
12310,,2018-07,91035,2018-05-31 00:00:00,2018-06-30 00:00:00,2018-08-04 00:00:00,,EUR,58.5936,0,999,P
11965,,2018-06,90806,2018-04-24 00:00:00,2018-05-24 00:00:00,2018-07-03 00:00:00,,EUR,1.1466,0,999,P
12039,,2018-11,90837,2018-09-16 00:00:00,2018-10-21 00:00:00,2018-12-03 00:00:00,,EUR,42.471,0,999,P
12421,,2018-09,91166,2018-07-04 00:00:00,2018-08-03 00:00:00,2018-09-08 00:00:00,,EUR,63.4842,0,999,P
11574,,2018-11,90614,2018-09-16 00:00:00,2018-10-21 00:00:00,2018-11-28 00:00:00,,EUR,35.1,0,999,P
10634,,2018-10,90127,2018-08-31 00:00:00,2018-09-29 00:00:00,2018-11-05 00:00:00,,EUR,41.0553,0,999,R
11188,,2018-08,90303,2018-06-02 00:00:00,2018-07-02 00:00:00,2018-08-10 00:00:00,,EUR,150.93,0,999,P
11952,,2018-11,90789,2018-09-16 00:00:00,2018-10-21 00:00:00,2018-12-09 00:00:00,,EUR,17.55,0,999,P
12108,,2018-07,90885,2018-06-18 00:00:00,2018-06-18 00:00:00,2018-07-28 00:00:00,,EUR,38.61,0,999,P
12082,,2018-12,90857,2018-10-02 00:00:00,2018-11-01 00:00:00,2018-12-10 00:00:00,,EUR,208.5525,0,999,P
11188,,2018-07,90298,2018-05-31 00:00:00,2018-06-30 00:00:00,2018-08-12 00:00:00,,EUR,1166.49,0,999,P
11188,,2018-08,90300,2018-06-02 00:00:00,2018-07-02 00:00:00,2018-08-14 00:00:00,,EUR,291.33,0,999,P
11480,,2018-08,90552,2018-06-02 00:00:00,2018-07-02 00:00:00,2018-08-17 00:00:00,,EUR,711.3834,0,999,P
11293,,2018-10,90430,2018-08-31 00:00:00,2018-09-30 00:00:00,2018-11-14 00:00:00,,EUR,44.5887,0,999,P
12108,,2018-09,90887,2018-08-08 00:00:00,2018-08-08 00:00:00,2018-09-18 00:00:00,,EUR,1147.9104,0,999,P
11609,,2018-11,90626,2018-09-03 00:00:00,2018-10-02 00:00:00,2018-11-15 00:00:00,,EUR,936,0,999,P
11262,,2017-09,90396,2017-07-15 00:00:00,2017-08-14 00:00:00,2017-09-26 00:00:00,,EUR,751.2687,0,999,P
10327,,2018-10,90032,2018-08-31 00:00:00,2018-09-29 00:00:00,2018-11-12 00:00:00,,EUR,20053.6362,0,999,R
