contact_code,party_id,contact_id,name,relationship,segment,company_id
1,10001,1,O'Kon-Parisian,B,,999
2,10002,2,Sauer and Sons,B,,999
3,10003,3,Lockman Inc,B,,999
4,10004,4,Balistreri and Sons,B,,999
5,10005,5,Marvin-Glover,B,,999
6,10006,6,Reichel-Jenkins,B,,999
7,10007,7,Abernathy-Emmerich,B,,999
8,10008,8,"VonRueden, Hagenes and Pfannerstill",B,,999
9,10009,9,"O'Keefe, Lehner and Weimann",B,,999
10,10010,10,Huels LLC,B,,999
11,10011,11,"Donnelly, Reichel and Schmitt",B,,999
12,10012,12,Senger-Goldner,B,,999
13,10013,13,Altenwerth and Sons,B,,999
14,10014,14,Bode Inc,B,,999
15,10015,15,"Dickens, Harvey and O'Hara",B,,999
16,10016,16,"Stehr, Jerde and Leannon",B,,999
17,10017,17,Willms and Sons,B,,999
18,10018,18,Heidenreich Group,B,,999
19,10019,19,Ritchie Inc,B,,999
20,10020,20,Gutmann LLC,B,,999
21,10021,21,Schiller Inc,B,,999
22,10022,22,D'Amore and Sons,B,,999
23,10023,23,Botsford LLC,B,,999
24,10024,24,Halvorson Group,B,,999
25,10025,25,Terry-Rowe,B,,999
26,10026,26,Swift LLC,B,,999
27,10027,27,Vandervort-Schamberger,B,,999
28,10028,28,Carroll-Kuhn,B,,999
29,10029,29,"Ritchie, Daniel and Padberg",B,,999
30,10030,30,Zieme and Sons,B,,999
31,10031,31,Herzog and Sons,B,,999
32,10032,32,Kirlin-Homenick,B,,999
33,10033,33,Funk-Christiansen,B,,999
34,10034,34,Kertzmann-Luettgen,B,,999
35,10035,35,Kulas-Gutmann,B,,999
36,10036,36,Hartmann-Runolfsson,B,,999
37,10037,37,Hammes and Sons,B,,999
38,10038,38,"Weber, Auer and Ferry",B,,999
39,10039,39,Botsford Inc,B,,999
40,10040,40,"Lemke, Gleichner and Goodwin",B,,999
41,10041,41,"Dibbert, Kulas and Lang",B,,999
42,10042,42,Walsh-Olson,B,,999
43,10043,43,"Connelly, Howe and Hessel",B,,999
44,10044,44,"Rippin, Welch and Ryan",B,,999
45,10045,45,"Daugherty, Baumbach and Reinger",B,,999
46,10046,46,Doyle-Gorczany,B,,999
47,10047,47,Kemmer-Hilpert,B,,999
48,10048,48,O'Kon Group,B,,999
49,10049,49,Nolan-Prohaska,B,,999
50,10050,50,Berge and Sons,B,,999
51,10051,51,"Tromp, Shanahan and Hilpert",B,,999
52,10052,52,Kirlin Group,B,,999
53,10053,53,Gutmann-Bednar,B,,999
54,10054,54,Auer and Sons,B,,999
55,10055,55,"Williamson, Eichmann and Crooks",B,,999
56,10056,56,"Grant, Waelchi and Treutel",B,,999
57,10057,57,Tremblay-McKenzie,B,,999
58,10058,58,Conn Inc,B,,999
59,10059,59,Towne Inc,B,,999
60,10060,60,Langworth-Turner,B,,999
61,10061,61,"Kautzer, Macejkovic and Pfeffer",B,,999
62,10062,62,Quitzon Inc,B,,999
63,10063,63,Baumbach-Kuphal,B,,999
64,10064,64,Boehm and Sons,B,,999
65,10065,65,Wiza-Kirlin,B,,999
66,10066,66,Crooks-Koss,B,,999
67,10067,67,Jacobs Inc,B,,999
